,ID,Restaurant,Address,Time,Price,District,negative,positive,cmt_Rate,total
29,30,Con Gà Mái - Cơm Gà Phú Yên - Trần Cao Vân,"21A Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 280.000,Quận 1,35.0,65.0,7.55,100.0
30,31,Xôi Chè Bùi Thị Xuân - Bùi Thị Xuân,"111 Bùi Thị Xuân, P. Phạm Ngũ Lão , Quận 1, TP. HCM",,25.000 - 55.000,Quận 1,75.0,25.0,5.327999999999999,100.0
31,32,Gà Ta Xứ Quảng - Nguyễn Văn Cừ,"116 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 300.000,Quận 1,0.0,1.0,8.8,1.0
32,33,"Bánh Bao, Há Cảo & Xíu Mại - Cô Giang","61/30 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,6.000 - 50.000,Quận 1,12.0,23.0,6.891428571428572,35.0
33,34,Hủ Tiếu Mực Ông Già - Tôn Thất Thiệp,"62/3 Tôn Thất Thiệp, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:00,30.000 - 50.000,Quận 1,17.0,30.0,6.706382978723404,47.0
34,35,Cơm Gà Xối Mỡ 149 - Cơm Gà Mắm Tỏi,"149 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,40.000 - 65.000,Quận 1,14.0,18.0,7.29375,32.0
35,36,Gỏi Cuốn & Bò Bía - Bùi Viện,"148/18 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,6.000 - 150.000,Quận 1,2.0,0.0,5.0,2.0
36,37,Cháo Sườn Cô Dung,"52 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",07:00 - 11:00 | 16:30 - 21:00,15.000 - 30.000,Quận 1,7.0,10.0,6.894117647058824,17.0
37,38,Bánh Bò Thốt Nốt COCOCake - Lò Bánh Minh Khai,"18A/29 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,95.000 - 150.000,Quận 1,8.0,12.0,7.470000000000001,20.0
38,39,Wow Chicken - Gà Rán & Cơm Gà - Sương Nguyệt Ánh,"1A Ter Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",,5.000 - 100.000,Quận 1,9.0,20.0,7.813793103448275,29.0
39,40,Quán Giá Hẹ - Cơm Sườn & Hủ Tiếu,"269 Đề Thám, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,30.000 - 45.000,Quận 1,2.0,4.0,6.933333333333334,6.0
